feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant
noun_ratio,covid,fauci,NONE,target,0.6375,0.4458,0.217,0.1891,small,small,False,Cliff's delta,small,no
verb_ratio,covid,fauci,NONE,target,0.6293,0.322,-0.1827,-0.2437,small,small,False,Cliff's delta,small,no
adj_ratio,covid,fauci,NONE,target,0.0097,0.0167,0.8459,0.584,large,large,False,Cliff's delta,large,yes
adv_ratio,covid,fauci,NONE,target,0.1361,0.0848,-0.78,-0.4118,large,medium,False,Cliff's delta,medium,no
pronoun_ratio,covid,fauci,NONE,target,0.085,0.0393,-0.9344,-0.4916,large,large,False,Cliff's delta,large,yes
avg_dependency_depth,covid,fauci,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,covid,fauci,NONE,target,0.5713,0.4251,-0.2561,-0.1975,small,small,True,Cohen's d,small,no
punctuation_usage,covid,fauci,NONE,target,0.5652,0.4982,-0.2688,-0.1681,small,small,False,Cliff's delta,small,no
readability_score,covid,fauci,NONE,target,0.2149,0.4354,0.3594,0.1933,medium,small,True,Cohen's d,medium,no
sentence_length_variation,covid,fauci,NONE,target,0.4543,0.3358,-0.3038,-0.2353,medium,small,False,Cliff's delta,small,no
subordinate_clause_ratio,covid,fauci,NONE,target,0.7621,0.5175,-0.0858,-0.1555,small,small,False,Cliff's delta,small,no
sentiment_polarity,covid,fauci,NONE,target,0.6316,0.587,-0.2987,-0.1303,small,negligible,False,Cliff's delta,negligible,no
sentiment_subjectivity,covid,fauci,NONE,target,0.1091,0.1307,-0.7429,-0.3613,large,medium,False,Cliff's delta,medium,no
anger,covid,fauci,NONE,target,0.9113,0.6227,0.05,0.1261,small,negligible,False,Cliff's delta,negligible,no
joy,covid,fauci,NONE,target,0.2253,0.9325,-1.2425,-0.0252,large,negligible,False,Cliff's delta,negligible,no
fear,covid,fauci,NONE,target,0.9176,0.5076,-0.0467,-0.1681,small,small,False,Cliff's delta,small,no
sadness,covid,fauci,NONE,target,0.8776,0.9325,0.047,-0.0252,small,negligible,False,Cliff's delta,negligible,no
disgust,covid,fauci,NONE,target,0.7433,0.5988,-0.1711,0.1345,small,negligible,False,Cliff's delta,negligible,no
surprise,covid,fauci,NONE,target,0.9296,0.9325,0.0315,0.0252,small,negligible,False,Cliff's delta,negligible,no
certainty_adverbs_count,covid,fauci,NONE,target,0.3024,0.2336,-0.8127,-0.2269,large,small,False,Cliff's delta,small,no
certainty_verbs_count,covid,fauci,NONE,target,0.3048,0.2328,-0.5651,-0.2521,medium,small,False,Cliff's delta,small,no
certainty_adjectives_count,covid,fauci,NONE,target,0.2727,0.1541,-0.6103,-0.2521,medium,small,False,Cliff's delta,small,no
doubt_adverbs_count,covid,fauci,NONE,target,0.0666,0.0047,-1.4646,-0.5504,large,large,False,Cliff's delta,large,yes
doubt_verbs_count,covid,fauci,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
doubt_adjectives_count,covid,fauci,NONE,target,0.0092,0.2031,0.5157,0.2059,medium,small,False,Cliff's delta,small,yes
hedges_score,covid,fauci,NONE,target,0.5004,0.3978,-0.3592,-0.1387,medium,negligible,False,Cliff's delta,negligible,no
hedge_C_count,covid,fauci,NONE,target,0.0133,0.0093,-1.3101,-0.6345,large,large,False,Cliff's delta,large,yes
hedge_D_count,covid,fauci,NONE,target,0.0831,0.4425,0.3332,0.0882,medium,negligible,False,Cliff's delta,negligible,no
hedge_E_count,covid,fauci,NONE,target,0.2167,0.0212,-1.0334,-0.2563,large,small,False,Cliff's delta,small,yes
hedge_I_count,covid,fauci,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
hedge_N_count,covid,fauci,NONE,target,0.464,0.2275,-0.524,-0.1134,medium,negligible,False,Cliff's delta,negligible,no
C_ratio,covid,fauci,NONE,target,0.6646,0.3241,0.175,0.1513,small,small,False,Cliff's delta,small,no
D_ratio,covid,fauci,NONE,target,0.0927,0.4429,0.3229,0.0882,medium,negligible,False,Cliff's delta,negligible,no
E_ratio,covid,fauci,NONE,target,0.4578,0.026,-0.2549,-0.2479,small,small,False,Cliff's delta,small,yes
I_ratio,covid,fauci,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
N_ratio,covid,fauci,NONE,target,0.4959,0.246,-0.43,-0.1092,medium,negligible,False,Cliff's delta,negligible,no
word_count,covid,school_closures,AGAINST,target,0.7673,0.4225,-0.176,-0.3056,small,small,True,Cohen's d,small,no
sentence_count,covid,school_closures,AGAINST,target,0.6546,0.5473,0.2663,0.2222,small,small,False,Cliff's delta,small,no
avg_word_length,covid,school_closures,AGAINST,target,0.3069,0.2403,-0.626,-0.4444,medium,medium,True,Cohen's d,medium,no
std_word_length,covid,school_closures,AGAINST,target,0.2713,0.2403,-0.6868,-0.4444,medium,medium,True,Cohen's d,medium,no
type_token_ratio,covid,school_closures,AGAINST,target,0.3256,0.3939,-0.5985,-0.3333,medium,medium,True,Cohen's d,medium,no
hapax_legomena,covid,school_closures,AGAINST,target,0.2632,0.3095,-0.6859,-0.3889,medium,medium,True,Cohen's d,medium,no
stopword_ratio,covid,school_closures,AGAINST,target,0.5542,0.5887,-0.3546,-0.2222,medium,small,True,Cohen's d,medium,no
punctuation_density,covid,school_closures,AGAINST,target,0.6443,0.6991,0.275,0.1667,small,small,True,Cohen's d,small,no
noun_ratio,covid,school_closures,AGAINST,target,0.8017,0.9372,-0.149,-0.0556,small,negligible,True,Cohen's d,small,no
verb_ratio,covid,school_closures,AGAINST,target,0.5388,0.6991,-0.3678,-0.1667,medium,small,True,Cohen's d,medium,no
adj_ratio,covid,school_closures,AGAINST,target,0.7563,1.0,-0.1844,0.0,small,negligible,True,Cohen's d,small,no
adv_ratio,covid,school_closures,AGAINST,target,0.9025,1.0,-0.0725,-0.0278,small,negligible,True,Cohen's d,small,no
pronoun_ratio,covid,school_closures,AGAINST,target,0.8591,1.0,0.1053,0.0278,small,negligible,True,Cohen's d,small,no
avg_dependency_depth,covid,school_closures,AGAINST,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,covid,school_closures,AGAINST,target,0.9221,1.0,0.0579,0.0,small,negligible,True,Cohen's d,small,no
punctuation_usage,covid,school_closures,AGAINST,target,0.3368,0.2265,0.583,0.4444,medium,medium,True,Cohen's d,medium,no
readability_score,covid,school_closures,AGAINST,target,0.0175,0.0247,-1.6791,-0.8056,large,large,True,Cohen's d,large,yes
sentence_length_variation,covid,school_closures,AGAINST,target,0.9978,0.4418,-0.0016,0.2778,small,small,False,Cliff's delta,small,no
subordinate_clause_ratio,covid,school_closures,AGAINST,target,0.8138,1.0,0.1399,0.0,small,negligible,False,Cliff's delta,negligible,no
sentiment_polarity,covid,school_closures,AGAINST,target,0.9993,0.6781,0.0005,0.1667,small,small,True,Cohen's d,small,no
sentiment_subjectivity,covid,school_closures,AGAINST,target,0.1848,0.2257,0.8406,0.4444,large,medium,True,Cohen's d,large,no
anger,covid,school_closures,AGAINST,target,0.1144,0.1797,1.0869,0.5,large,large,True,Cohen's d,large,no
joy,covid,school_closures,AGAINST,target,0.2543,0.3939,-0.7201,-0.3333,large,medium,True,Cohen's d,large,no
fear,covid,school_closures,AGAINST,target,0.7763,0.9372,-0.1686,-0.0556,small,negligible,True,Cohen's d,small,no
sadness,covid,school_closures,AGAINST,target,0.427,0.1797,-0.4895,-0.5,medium,large,False,Cliff's delta,large,no
disgust,covid,school_closures,AGAINST,target,0.4318,0.9372,-0.4833,-0.0556,medium,negligible,False,Cliff's delta,negligible,no
surprise,covid,school_closures,AGAINST,target,0.1713,0.1797,-0.9189,-0.5,large,large,False,Cliff's delta,large,no
certainty_adverbs_count,covid,school_closures,AGAINST,target,1.0,0.7518,0.0,0.1111,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,covid,school_closures,AGAINST,target,0.8356,0.4448,-0.1237,-0.25,small,small,False,Cliff's delta,small,no
certainty_adjectives_count,covid,school_closures,AGAINST,target,0.3742,0.5271,-0.5533,-0.1944,medium,small,False,Cliff's delta,small,no
doubt_adverbs_count,covid,school_closures,AGAINST,target,0.304,0.4166,-0.6367,-0.2778,medium,small,False,Cliff's delta,small,no
doubt_verbs_count,covid,school_closures,AGAINST,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
doubt_adjectives_count,covid,school_closures,AGAINST,target,1.0,1.0,0.0,0.0,small,negligible,False,Cliff's delta,negligible,no
hedges_score,covid,school_closures,AGAINST,target,0.0174,0.0167,1.6426,0.8056,large,large,False,Cliff's delta,large,yes
hedge_C_count,covid,school_closures,AGAINST,target,0.462,0.3939,-0.4419,-0.3333,medium,medium,True,Cohen's d,medium,no
hedge_D_count,covid,school_closures,AGAINST,target,0.3632,0.4047,0.5774,0.1667,medium,small,False,Cliff's delta,small,no
hedge_E_count,covid,school_closures,AGAINST,target,0.3632,0.4047,0.5774,0.1667,medium,small,False,Cliff's delta,small,no
hedge_I_count,covid,school_closures,AGAINST,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
hedge_N_count,covid,school_closures,AGAINST,target,0.0391,0.0552,1.4857,0.6111,large,large,False,Cliff's delta,large,yes
C_ratio,covid,school_closures,AGAINST,target,0.0116,0.0167,-2.0527,-0.8056,large,large,False,Cliff's delta,large,yes
D_ratio,covid,school_closures,AGAINST,target,0.3632,0.4047,0.5774,0.1667,medium,small,False,Cliff's delta,small,no
E_ratio,covid,school_closures,AGAINST,target,0.3632,0.4047,0.5774,0.1667,medium,small,False,Cliff's delta,small,no
I_ratio,covid,school_closures,AGAINST,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
N_ratio,covid,school_closures,AGAINST,target,0.0688,0.0608,1.2854,0.6111,large,large,False,Cliff's delta,large,no
word_count,covid,school_closures,FAVOR,target,0.3517,0.2475,0.7022,0.325,large,small,True,Cohen's d,large,no
sentence_count,covid,school_closures,FAVOR,target,0.4058,0.3049,0.3996,0.28,medium,small,False,Cliff's delta,small,no
avg_word_length,covid,school_closures,FAVOR,target,0.2038,0.1699,-0.588,-0.385,medium,medium,True,Cohen's d,medium,no
std_word_length,covid,school_closures,FAVOR,target,0.9161,0.4491,-0.032,-0.22,small,small,False,Cliff's delta,small,no
type_token_ratio,covid,school_closures,FAVOR,target,0.1331,0.164,-0.661,-0.39,medium,medium,True,Cohen's d,medium,no
hapax_legomena,covid,school_closures,FAVOR,target,0.2556,0.226,-0.554,-0.34,medium,medium,True,Cohen's d,medium,no
stopword_ratio,covid,school_closures,FAVOR,target,0.7495,0.4924,0.1736,0.195,small,small,True,Cohen's d,small,no
punctuation_density,covid,school_closures,FAVOR,target,0.0548,0.1204,0.7891,0.435,large,medium,False,Cliff's delta,medium,no
noun_ratio,covid,school_closures,FAVOR,target,0.2757,0.2127,-0.5429,-0.35,medium,medium,True,Cohen's d,medium,no
verb_ratio,covid,school_closures,FAVOR,target,0.3049,0.2476,-0.8328,-0.325,large,small,True,Cohen's d,large,no
adj_ratio,covid,school_closures,FAVOR,target,0.6992,0.7037,-0.2761,-0.11,small,negligible,True,Cohen's d,small,no
adv_ratio,covid,school_closures,FAVOR,target,0.7441,0.4683,-0.1299,-0.205,small,small,False,Cliff's delta,small,no
pronoun_ratio,covid,school_closures,FAVOR,target,0.0913,0.1156,0.7349,0.44,large,medium,False,Cliff's delta,medium,no
avg_dependency_depth,covid,school_closures,FAVOR,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,covid,school_closures,FAVOR,target,0.498,0.5039,0.2394,0.19,small,small,True,Cohen's d,small,no
punctuation_usage,covid,school_closures,FAVOR,target,0.8354,0.9856,0.1164,-0.01,small,negligible,False,Cliff's delta,negligible,no
readability_score,covid,school_closures,FAVOR,target,0.4437,0.4163,-0.6534,-0.23,medium,small,False,Cliff's delta,small,no
sentence_length_variation,covid,school_closures,FAVOR,target,0.0076,0.0702,0.8622,0.495,large,large,False,Cliff's delta,large,yes
subordinate_clause_ratio,covid,school_closures,FAVOR,target,0.3046,0.0765,0.7801,0.495,large,large,False,Cliff's delta,large,no
sentiment_polarity,covid,school_closures,FAVOR,target,0.3642,0.3549,-0.3912,-0.26,medium,small,True,Cohen's d,medium,no
sentiment_subjectivity,covid,school_closures,FAVOR,target,0.1164,0.062,0.9981,0.52,large,large,True,Cohen's d,large,no
anger,covid,school_closures,FAVOR,target,0.8106,0.5863,0.1336,0.16,small,small,False,Cliff's delta,small,no
joy,covid,school_closures,FAVOR,target,0.546,0.3681,-0.2387,-0.26,small,small,False,Cliff's delta,small,no
fear,covid,school_closures,FAVOR,target,0.366,0.1583,0.4934,0.4,medium,medium,False,Cliff's delta,medium,no
sadness,covid,school_closures,FAVOR,target,0.0113,0.249,0.5726,0.33,medium,medium,False,Cliff's delta,medium,yes
disgust,covid,school_closures,FAVOR,target,0.3675,0.2642,-1.2791,-0.32,large,small,False,Cliff's delta,small,no
surprise,covid,school_closures,FAVOR,target,0.0156,0.4075,0.4216,0.24,medium,small,False,Cliff's delta,small,yes
certainty_adverbs_count,covid,school_closures,FAVOR,target,0.2316,0.1126,-0.7781,-0.35,large,medium,False,Cliff's delta,medium,no
certainty_verbs_count,covid,school_closures,FAVOR,target,0.3229,0.5759,0.35,0.145,medium,negligible,False,Cliff's delta,negligible,no
certainty_adjectives_count,covid,school_closures,FAVOR,target,0.5135,0.4283,-0.3956,-0.2,medium,small,False,Cliff's delta,small,no
doubt_adverbs_count,covid,school_closures,FAVOR,target,0.6892,0.7848,-0.2965,-0.07,small,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,covid,school_closures,FAVOR,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
doubt_adjectives_count,covid,school_closures,FAVOR,target,0.044,0.4865,0.3456,0.1,medium,negligible,False,Cliff's delta,negligible,yes
hedges_score,covid,school_closures,FAVOR,target,0.0002,0.171,0.6783,0.3,medium,small,False,Cliff's delta,small,yes
hedge_C_count,covid,school_closures,FAVOR,target,0.3999,0.2861,0.6122,0.3,medium,small,True,Cohen's d,medium,no
hedge_D_count,covid,school_closures,FAVOR,target,0.0832,0.5585,0.2952,0.075,small,negligible,False,Cliff's delta,negligible,no
hedge_E_count,covid,school_closures,FAVOR,target,0.1031,0.5588,0.2771,0.075,small,negligible,False,Cliff's delta,negligible,no
hedge_I_count,covid,school_closures,FAVOR,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
hedge_N_count,covid,school_closures,FAVOR,target,0.0032,0.2536,0.5211,0.225,medium,small,False,Cliff's delta,small,yes
C_ratio,covid,school_closures,FAVOR,target,0.0008,0.1487,-0.6064,-0.325,medium,small,False,Cliff's delta,small,yes
D_ratio,covid,school_closures,FAVOR,target,0.0836,0.5588,0.2948,0.075,small,negligible,False,Cliff's delta,negligible,no
E_ratio,covid,school_closures,FAVOR,target,0.0924,0.5588,0.2864,0.075,small,negligible,False,Cliff's delta,negligible,no
I_ratio,covid,school_closures,FAVOR,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
N_ratio,covid,school_closures,FAVOR,target,0.0085,0.2554,0.4605,0.225,medium,small,False,Cliff's delta,small,yes
word_count,covid,school_closures,NONE,target,0.0459,0.0353,0.9841,0.55,large,large,True,Cohen's d,large,yes
sentence_count,covid,school_closures,NONE,target,0.2142,0.3867,0.4524,0.2214,medium,small,False,Cliff's delta,small,no
avg_word_length,covid,school_closures,NONE,target,0.6057,0.5696,0.2327,0.1571,small,small,True,Cohen's d,small,no
std_word_length,covid,school_closures,NONE,target,0.2438,0.3698,0.5524,0.2429,medium,small,True,Cohen's d,medium,no
type_token_ratio,covid,school_closures,NONE,target,0.1621,0.175,-0.8446,-0.3571,large,medium,True,Cohen's d,large,no
hapax_legomena,covid,school_closures,NONE,target,0.2637,0.213,-0.7125,-0.3286,large,small,True,Cohen's d,large,no
stopword_ratio,covid,school_closures,NONE,target,0.7287,0.8079,-0.1294,-0.0714,small,negligible,True,Cohen's d,small,no
punctuation_density,covid,school_closures,NONE,target,0.8218,0.8464,-0.106,-0.0571,small,negligible,True,Cohen's d,small,no
noun_ratio,covid,school_closures,NONE,target,0.6031,0.3465,-0.2068,-0.25,small,small,False,Cliff's delta,small,no
verb_ratio,covid,school_closures,NONE,target,0.6935,0.7399,-0.1861,-0.0929,small,negligible,True,Cohen's d,small,no
adj_ratio,covid,school_closures,NONE,target,0.9406,0.8899,-0.0276,-0.0429,small,negligible,True,Cohen's d,small,no
adv_ratio,covid,school_closures,NONE,target,0.0364,0.0628,0.771,0.4786,large,large,False,Cliff's delta,large,yes
pronoun_ratio,covid,school_closures,NONE,target,0.1957,0.2226,-0.6976,-0.3214,medium,small,True,Cohen's d,medium,no
avg_dependency_depth,covid,school_closures,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,covid,school_closures,NONE,target,0.9325,0.9779,-0.0339,-0.0143,small,negligible,True,Cohen's d,small,no
punctuation_usage,covid,school_closures,NONE,target,0.3246,0.4039,-0.728,-0.2214,large,small,False,Cliff's delta,small,no
readability_score,covid,school_closures,NONE,target,0.3433,0.7609,0.3426,0.0857,medium,negligible,False,Cliff's delta,negligible,no
sentence_length_variation,covid,school_closures,NONE,target,0.5258,0.5751,-0.3418,-0.15,medium,small,True,Cohen's d,medium,no
subordinate_clause_ratio,covid,school_closures,NONE,target,0.8345,0.9779,-0.1144,-0.0143,small,negligible,True,Cohen's d,small,no
sentiment_polarity,covid,school_closures,NONE,target,0.3204,0.221,0.6642,0.3214,medium,small,False,Cliff's delta,small,no
sentiment_subjectivity,covid,school_closures,NONE,target,0.3881,0.3896,0.4841,0.2286,medium,small,True,Cohen's d,medium,no
anger,covid,school_closures,NONE,target,0.6629,0.685,-0.2581,-0.1143,small,negligible,False,Cliff's delta,negligible,no
joy,covid,school_closures,NONE,target,0.234,0.2879,0.3171,0.2857,medium,small,False,Cliff's delta,small,no
fear,covid,school_closures,NONE,target,0.2716,0.2404,-0.5063,-0.3143,medium,small,False,Cliff's delta,small,no
sadness,covid,school_closures,NONE,target,0.8148,0.9784,0.0977,0.0143,small,negligible,False,Cliff's delta,negligible,no
disgust,covid,school_closures,NONE,target,0.0735,0.3998,0.4861,0.2286,medium,small,False,Cliff's delta,small,no
surprise,covid,school_closures,NONE,target,0.0147,0.2635,0.6893,0.3,medium,small,False,Cliff's delta,small,yes
certainty_adverbs_count,covid,school_closures,NONE,target,0.9662,1.0,0.0193,0.0071,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,covid,school_closures,NONE,target,0.4347,0.3592,-0.3756,-0.2143,medium,small,False,Cliff's delta,small,no
certainty_adjectives_count,covid,school_closures,NONE,target,0.5493,0.5909,0.2496,0.1071,small,negligible,False,Cliff's delta,negligible,no
doubt_adverbs_count,covid,school_closures,NONE,target,0.4052,0.6416,0.3039,0.1071,medium,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,covid,school_closures,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
doubt_adjectives_count,covid,school_closures,NONE,target,0.0421,0.2251,0.559,0.2,medium,small,False,Cliff's delta,small,yes
hedges_score,covid,school_closures,NONE,target,0.8414,0.774,-0.096,-0.0643,small,negligible,False,Cliff's delta,negligible,no
hedge_C_count,covid,school_closures,NONE,target,0.025,0.0378,0.9616,0.5429,large,large,True,Cohen's d,large,yes
hedge_D_count,covid,school_closures,NONE,target,0.3299,0.6121,0.2565,0.05,small,negligible,False,Cliff's delta,negligible,no
hedge_E_count,covid,school_closures,NONE,target,0.3299,0.6121,0.2565,0.05,small,negligible,False,Cliff's delta,negligible,no
hedge_I_count,covid,school_closures,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
hedge_N_count,covid,school_closures,NONE,target,0.6015,0.487,-0.2637,-0.1286,small,negligible,False,Cliff's delta,negligible,no
C_ratio,covid,school_closures,NONE,target,0.5251,0.7196,0.4204,0.0786,medium,negligible,False,Cliff's delta,negligible,no
D_ratio,covid,school_closures,NONE,target,0.3299,0.6121,0.2565,0.05,small,negligible,False,Cliff's delta,negligible,no
E_ratio,covid,school_closures,NONE,target,0.3299,0.6121,0.2565,0.05,small,negligible,False,Cliff's delta,negligible,no
I_ratio,covid,school_closures,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
N_ratio,covid,school_closures,NONE,target,0.4259,0.4143,-0.5412,-0.15,medium,small,False,Cliff's delta,small,no
word_count,covid,stay_at_home_orders,NONE,target,0.1723,0.0331,-0.8555,-0.5733,large,large,False,Cliff's delta,large,yes
sentence_count,covid,stay_at_home_orders,NONE,target,0.0484,0.0,-2.5748,-0.7227,large,large,False,Cliff's delta,large,yes
avg_word_length,covid,stay_at_home_orders,NONE,target,0.1739,0.1118,0.615,0.4293,medium,medium,False,Cliff's delta,medium,no
std_word_length,covid,stay_at_home_orders,NONE,target,0.0161,0.0255,0.9821,0.5893,large,large,False,Cliff's delta,large,yes
type_token_ratio,covid,stay_at_home_orders,NONE,target,0.0348,0.042,-0.8911,-0.5467,large,large,False,Cliff's delta,large,yes
hapax_legomena,covid,stay_at_home_orders,NONE,target,0.1496,0.0557,-0.7111,-0.5147,large,large,False,Cliff's delta,large,no
stopword_ratio,covid,stay_at_home_orders,NONE,target,0.0064,0.0039,-1.4614,-0.776,large,large,False,Cliff's delta,large,yes
punctuation_density,covid,stay_at_home_orders,NONE,target,0.0001,0.0052,1.6373,0.752,large,large,False,Cliff's delta,large,yes
noun_ratio,covid,stay_at_home_orders,NONE,target,0.0002,0.0041,1.5078,0.7733,large,large,False,Cliff's delta,large,yes
verb_ratio,covid,stay_at_home_orders,NONE,target,0.005,0.0019,-1.6057,-0.816,large,large,False,Cliff's delta,large,yes
adj_ratio,covid,stay_at_home_orders,NONE,target,0.2183,0.1063,-0.2625,-0.408,small,medium,False,Cliff's delta,medium,no
adv_ratio,covid,stay_at_home_orders,NONE,target,0.3107,0.057,-0.528,-0.376,medium,medium,False,Cliff's delta,medium,no
pronoun_ratio,covid,stay_at_home_orders,NONE,target,0.0027,0.0048,-0.7157,-0.6533,large,large,False,Cliff's delta,large,yes
avg_dependency_depth,covid,stay_at_home_orders,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,covid,stay_at_home_orders,NONE,target,0.0077,0.0081,-1.2995,-0.712,large,large,False,Cliff's delta,large,yes
punctuation_usage,covid,stay_at_home_orders,NONE,target,0.093,0.0004,-1.2142,-0.744,large,large,False,Cliff's delta,large,yes
readability_score,covid,stay_at_home_orders,NONE,target,0.0006,0.1116,0.8057,0.4293,large,medium,False,Cliff's delta,medium,yes
sentence_length_variation,covid,stay_at_home_orders,NONE,target,0.0624,0.0001,-1.1558,-0.6773,large,large,False,Cliff's delta,large,yes
subordinate_clause_ratio,covid,stay_at_home_orders,NONE,target,0.5022,0.053,-0.238,-0.3653,small,medium,False,Cliff's delta,medium,no
sentiment_polarity,covid,stay_at_home_orders,NONE,target,0.6702,0.7283,0.5594,-0.0693,medium,negligible,False,Cliff's delta,negligible,no
sentiment_subjectivity,covid,stay_at_home_orders,NONE,target,0.0652,0.001,-1.9338,-0.6507,large,large,False,Cliff's delta,large,yes
anger,covid,stay_at_home_orders,NONE,target,0.3073,0.8171,-1.2899,-0.0667,large,negligible,False,Cliff's delta,negligible,no
joy,covid,stay_at_home_orders,NONE,target,0.0,0.0,1.107,0.9307,large,large,False,Cliff's delta,large,yes
fear,covid,stay_at_home_orders,NONE,target,0.1934,0.0959,-1.1125,-0.4507,large,medium,False,Cliff's delta,medium,no
sadness,covid,stay_at_home_orders,NONE,target,0.0002,0.0018,0.4805,0.776,medium,large,False,Cliff's delta,large,yes
disgust,covid,stay_at_home_orders,NONE,target,0.0847,0.8171,0.2187,0.0667,small,negligible,False,Cliff's delta,negligible,no
surprise,covid,stay_at_home_orders,NONE,target,0.0,0.0016,0.671,0.7813,medium,large,False,Cliff's delta,large,yes
certainty_adverbs_count,covid,stay_at_home_orders,NONE,target,0.5073,0.1269,-0.5047,-0.1573,medium,small,False,Cliff's delta,small,no
certainty_verbs_count,covid,stay_at_home_orders,NONE,target,0.3402,0.1117,-0.7498,-0.2667,large,small,False,Cliff's delta,small,no
certainty_adjectives_count,covid,stay_at_home_orders,NONE,target,0.5849,0.296,-0.3674,-0.1307,medium,negligible,False,Cliff's delta,negligible,no
doubt_adverbs_count,covid,stay_at_home_orders,NONE,target,0.2306,0.005,-1.3711,-0.3467,large,medium,False,Cliff's delta,medium,yes
doubt_verbs_count,covid,stay_at_home_orders,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
doubt_adjectives_count,covid,stay_at_home_orders,NONE,target,0.4693,0.3103,-0.9571,-0.136,large,negligible,False,Cliff's delta,negligible,no
hedges_score,covid,stay_at_home_orders,NONE,target,0.1898,0.0,-2.3034,-0.3813,large,medium,False,Cliff's delta,medium,yes
hedge_C_count,covid,stay_at_home_orders,NONE,target,0.0465,0.0014,-1.8455,-0.8533,large,large,False,Cliff's delta,large,yes
hedge_D_count,covid,stay_at_home_orders,NONE,target,0.1778,0.0,-3.2249,-0.4,large,medium,False,Cliff's delta,medium,yes
hedge_E_count,covid,stay_at_home_orders,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
hedge_I_count,covid,stay_at_home_orders,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
hedge_N_count,covid,stay_at_home_orders,NONE,target,0.3206,0.8364,0.1185,0.0133,small,negligible,False,Cliff's delta,negligible,no
C_ratio,covid,stay_at_home_orders,NONE,target,0.1929,0.0,2.085,0.3813,large,medium,False,Cliff's delta,medium,yes
D_ratio,covid,stay_at_home_orders,NONE,target,0.1783,0.0,-3.2198,-0.4,large,medium,False,Cliff's delta,medium,yes
E_ratio,covid,stay_at_home_orders,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
I_ratio,covid,stay_at_home_orders,NONE,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
N_ratio,covid,stay_at_home_orders,NONE,target,0.3206,0.8364,0.1185,0.0133,small,negligible,False,Cliff's delta,negligible,no
word_count,pstance,ALL,AGAINST,overall,0.552,0.5528,-0.1103,-0.0565,small,negligible,False,Cliff's delta,negligible,no
sentence_count,pstance,ALL,AGAINST,overall,0.211,0.1705,-0.2133,-0.1271,small,negligible,False,Cliff's delta,negligible,no
avg_word_length,pstance,ALL,AGAINST,overall,0.3753,0.798,0.1349,0.0244,small,negligible,False,Cliff's delta,negligible,no
std_word_length,pstance,ALL,AGAINST,overall,0.271,0.0755,-0.1427,-0.1692,small,small,False,Cliff's delta,small,no
type_token_ratio,pstance,ALL,AGAINST,overall,0.4302,0.3745,0.1352,0.0846,small,negligible,False,Cliff's delta,negligible,no
hapax_legomena,pstance,ALL,AGAINST,overall,0.5319,0.4398,0.102,0.0736,small,negligible,False,Cliff's delta,negligible,no
stopword_ratio,pstance,ALL,AGAINST,overall,0.47,0.6172,0.1299,0.0476,small,negligible,True,Cohen's d,small,no
punctuation_density,pstance,ALL,AGAINST,overall,0.0585,0.0301,-0.3983,-0.2064,medium,small,False,Cliff's delta,small,yes
noun_ratio,pstance,ALL,AGAINST,overall,0.8988,0.7893,0.0234,0.0255,small,negligible,False,Cliff's delta,negligible,no
verb_ratio,pstance,ALL,AGAINST,overall,0.3621,0.3791,0.1591,0.0838,small,negligible,True,Cohen's d,small,no
adj_ratio,pstance,ALL,AGAINST,overall,0.2051,0.2581,-0.2494,-0.1074,small,negligible,False,Cliff's delta,negligible,no
