feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant
hedge_D_count,pstance,Bernie Sanders,FAVOR,target,0.0037,0.5463,0.2116,0.045,small,negligible,False,Cliff's delta,negligible,yes
hedge_E_count,pstance,Bernie Sanders,FAVOR,target,0.0044,0.571,0.2072,0.04,small,negligible,False,Cliff's delta,negligible,yes
D_ratio,pstance,Bernie Sanders,FAVOR,target,0.0033,0.5463,0.2141,0.045,small,negligible,False,Cliff's delta,negligible,yes
E_ratio,pstance,Bernie Sanders,FAVOR,target,0.0054,0.5711,0.2025,0.04,small,negligible,False,Cliff's delta,negligible,yes
type_token_ratio,pstance,Joe Biden,AGAINST,target,0.0412,0.0228,0.4931,0.2947,medium,small,False,Cliff's delta,small,yes
verb_ratio,pstance,Joe Biden,AGAINST,target,0.0363,0.0655,0.4044,0.2385,medium,small,True,Cohen's d,medium,yes
adv_ratio,pstance,Joe Biden,AGAINST,target,0.0068,0.13,0.4117,0.1949,medium,small,False,Cliff's delta,small,yes
sentiment_polarity,pstance,Joe Biden,AGAINST,target,0.0431,0.0062,-0.5347,-0.3504,medium,medium,False,Cliff's delta,medium,yes
joy,pstance,Joe Biden,AGAINST,target,0.2307,0.0004,-0.5503,-0.4587,medium,medium,False,Cliff's delta,medium,yes
disgust,pstance,Joe Biden,AGAINST,target,0.001,0.0687,0.2587,0.2358,small,small,False,Cliff's delta,small,yes
std_word_length,pstance,Joe Biden,FAVOR,target,0.045,0.0465,0.4136,0.2418,medium,small,False,Cliff's delta,small,yes
stopword_ratio,pstance,Joe Biden,FAVOR,target,0.0296,0.022,-0.4515,-0.2782,medium,small,True,Cohen's d,medium,yes
punctuation_density,pstance,Joe Biden,FAVOR,target,0.0168,0.0072,0.5683,0.3266,medium,small,True,Cohen's d,medium,yes
noun_ratio,pstance,Joe Biden,FAVOR,target,0.0121,0.0188,0.5009,0.2854,medium,small,False,Cliff's delta,small,yes
verb_ratio,pstance,Joe Biden,FAVOR,target,0.0121,0.0128,-0.5325,-0.3022,medium,small,True,Cohen's d,medium,yes
adv_ratio,pstance,Joe Biden,FAVOR,target,0.0153,0.0041,-0.5064,-0.3364,medium,medium,False,Cliff's delta,medium,yes
function_word_ratio,pstance,Joe Biden,FAVOR,target,0.0539,0.0366,-0.4076,-0.2539,medium,small,True,Cohen's d,medium,yes
sentiment_polarity,pstance,Joe Biden,FAVOR,target,0.0323,0.0551,0.4443,0.2306,medium,small,False,Cliff's delta,small,yes
anger,pstance,Joe Biden,FAVOR,target,0.0078,0.0012,-0.9881,-0.3931,large,medium,False,Cliff's delta,medium,yes
joy,pstance,Joe Biden,FAVOR,target,0.0,0.0,0.7487,0.575,large,large,False,Cliff's delta,large,yes
disgust,pstance,Joe Biden,FAVOR,target,0.1424,0.0012,-0.8471,-0.3948,large,medium,False,Cliff's delta,medium,yes
certainty_adjectives_count,pstance,Joe Biden,FAVOR,target,0.0001,0.0105,0.5497,0.2843,medium,small,False,Cliff's delta,small,yes
hedges_score,pstance,Joe Biden,FAVOR,target,0.0077,0.0,-0.8807,-0.2975,large,small,False,Cliff's delta,small,yes
hedge_E_count,pstance,Joe Biden,FAVOR,target,0.0826,0.0012,-0.6983,-0.1317,medium,negligible,False,Cliff's delta,negligible,yes
hedge_N_count,pstance,Joe Biden,FAVOR,target,0.0186,0.0001,-0.9872,-0.2225,large,small,False,Cliff's delta,small,yes
C_ratio,pstance,Joe Biden,FAVOR,target,0.0124,0.0004,1.0316,0.259,large,small,False,Cliff's delta,small,yes
E_ratio,pstance,Joe Biden,FAVOR,target,0.1118,0.0012,-0.5263,-0.1317,medium,negligible,False,Cliff's delta,negligible,yes
N_ratio,pstance,Joe Biden,FAVOR,target,0.0207,0.0001,-0.9406,-0.2208,large,small,False,Cliff's delta,small,yes
std_word_length,semeval,ALL,AGAINST,overall,0.0652,0.0477,-0.3087,-0.138,medium,negligible,False,Cliff's delta,negligible,yes
adv_ratio,semeval,ALL,AGAINST,overall,0.0067,0.0051,-0.3743,-0.1843,medium,small,False,Cliff's delta,small,yes
sentence_length_variation,semeval,ALL,AGAINST,overall,0.0206,0.0204,0.2757,0.1604,small,small,False,Cliff's delta,small,yes
anger,semeval,ALL,AGAINST,overall,0.559,0.0379,-0.0702,-0.1447,small,negligible,False,Cliff's delta,negligible,yes
joy,semeval,ALL,AGAINST,overall,0.1133,0.0276,-0.2209,-0.1536,small,small,False,Cliff's delta,small,yes
fear,semeval,ALL,AGAINST,overall,0.1072,0.0201,0.191,0.162,small,small,False,Cliff's delta,small,yes
surprise,semeval,ALL,AGAINST,overall,0.9172,0.0148,-0.0092,-0.17,small,small,False,Cliff's delta,small,yes
noun_ratio,semeval,ALL,FAVOR,overall,0.0346,0.033,0.4336,0.2511,medium,small,False,Cliff's delta,small,yes
readability_score,semeval,ALL,FAVOR,overall,0.0422,0.0286,-0.3951,-0.2578,medium,small,False,Cliff's delta,small,yes
anger,semeval,ALL,FAVOR,overall,0.004,0.0011,-0.7896,-0.3839,large,medium,False,Cliff's delta,medium,yes
fear,semeval,ALL,FAVOR,overall,0.0274,0.0381,0.5087,0.2444,medium,small,False,Cliff's delta,small,yes
sadness,semeval,ALL,FAVOR,overall,0.0097,0.0951,0.293,0.1967,small,small,False,Cliff's delta,small,yes
surprise,semeval,ALL,FAVOR,overall,0.5245,0.0094,0.1223,0.306,small,small,False,Cliff's delta,small,yes
doubt_adverbs_count,semeval,ALL,FAVOR,overall,0.0553,0.0078,-0.4646,-0.2005,medium,small,False,Cliff's delta,small,yes
doubt_adjectives_count,semeval,ALL,FAVOR,overall,0.0444,0.1378,0.3083,0.1078,medium,negligible,False,Cliff's delta,negligible,yes
std_word_length,semeval,ALL,NONE,overall,0.0271,0.0239,0.4485,0.26,medium,small,True,Cohen's d,medium,yes
stopword_ratio,semeval,ALL,NONE,overall,0.0272,0.0955,-0.4413,-0.1918,medium,small,True,Cohen's d,medium,yes
punctuation_density,semeval,ALL,NONE,overall,0.0119,0.0057,0.5118,0.3179,medium,small,False,Cliff's delta,small,yes
pronoun_ratio,semeval,ALL,NONE,overall,0.0274,0.0594,0.4037,0.2079,medium,small,False,Cliff's delta,small,yes
sentiment_subjectivity,semeval,ALL,NONE,overall,0.008,0.0178,0.5017,0.2661,medium,small,False,Cliff's delta,small,yes
fear,semeval,ALL,NONE,overall,0.0466,0.0522,-0.3949,-0.2236,medium,small,False,Cliff's delta,small,yes
certainty_verbs_count,semeval,ALL,NONE,overall,0.0178,0.0121,-0.5106,-0.225,medium,small,False,Cliff's delta,small,yes
hedge_C_count,semeval,ALL,NONE,overall,0.0174,0.0277,-0.4658,-0.2529,medium,small,False,Cliff's delta,small,yes
hedge_E_count,semeval,ALL,NONE,overall,0.0242,0.0866,0.3445,0.0714,medium,negligible,False,Cliff's delta,negligible,yes
E_ratio,semeval,ALL,NONE,overall,0.0357,0.0867,0.3204,0.0714,medium,negligible,False,Cliff's delta,negligible,yes
word_count,semeval,Atheism,AGAINST,target,0.0098,0.028,0.5055,0.3209,medium,small,False,Cliff's delta,small,yes
avg_word_length,semeval,Atheism,AGAINST,target,0.0001,0.0,-1.2494,-0.6157,large,large,True,Cohen's d,large,yes
std_word_length,semeval,Atheism,AGAINST,target,0.0002,0.0,-1.1266,-0.6152,large,large,False,Cliff's delta,large,yes
stopword_ratio,semeval,Atheism,AGAINST,target,0.0519,0.0253,0.4899,0.3271,medium,small,True,Cohen's d,medium,yes
adj_ratio,semeval,Atheism,AGAINST,target,0.0763,0.0372,-0.4414,-0.3011,medium,small,False,Cliff's delta,small,yes
pronoun_ratio,semeval,Atheism,AGAINST,target,0.0002,0.0048,0.7435,0.4097,large,medium,False,Cliff's delta,medium,yes
function_word_ratio,semeval,Atheism,AGAINST,target,0.0296,0.025,0.5584,0.3277,medium,small,True,Cohen's d,medium,yes
readability_score,semeval,Atheism,AGAINST,target,0.005,0.0022,-0.9575,-0.4471,large,medium,False,Cliff's delta,medium,yes
subordinate_clause_ratio,semeval,Atheism,AGAINST,target,0.0038,0.0791,0.5092,0.249,medium,small,False,Cliff's delta,small,yes
sadness,semeval,Atheism,AGAINST,target,0.0,0.0028,0.5292,0.4363,medium,medium,False,Cliff's delta,medium,yes
certainty_verbs_count,semeval,Atheism,AGAINST,target,0.0,0.005,0.6794,0.3384,medium,medium,False,Cliff's delta,medium,yes
hedge_C_count,semeval,Atheism,AGAINST,target,0.0015,0.0072,0.6334,0.3922,medium,medium,False,Cliff's delta,medium,yes
anger,semeval,Feminist Movement,AGAINST,target,0.001,0.0059,0.7973,0.4983,large,large,False,Cliff's delta,large,yes
joy,semeval,Feminist Movement,AGAINST,target,0.0444,0.0094,-1.1162,-0.4704,large,medium,False,Cliff's delta,medium,yes
sadness,semeval,Feminist Movement,AGAINST,target,0.1274,0.0396,-0.5694,-0.3728,medium,medium,False,Cliff's delta,medium,yes
disgust,semeval,Feminist Movement,AGAINST,target,0.0007,0.0138,0.6707,0.446,medium,medium,False,Cliff's delta,medium,yes
surprise,semeval,Feminist Movement,AGAINST,target,0.619,0.0145,-0.1384,-0.4425,small,medium,False,Cliff's delta,medium,yes
certainty_verbs_count,semeval,Feminist Movement,AGAINST,target,0.0451,0.01,-0.9428,-0.3554,large,medium,False,Cliff's delta,medium,yes
doubt_adjectives_count,semeval,Feminist Movement,AGAINST,target,0.044,0.2376,0.3738,0.0976,medium,negligible,False,Cliff's delta,negligible,yes
hedge_N_count,semeval,Feminist Movement,AGAINST,target,0.0307,0.1812,0.4028,0.122,medium,negligible,False,Cliff's delta,negligible,yes
C_ratio,semeval,Feminist Movement,AGAINST,target,0.0174,0.1057,-0.503,-0.2125,medium,small,False,Cliff's delta,small,yes
N_ratio,semeval,Feminist Movement,AGAINST,target,0.0335,0.1813,0.3959,0.122,medium,negligible,False,Cliff's delta,negligible,yes
std_word_length,semeval,Feminist Movement,FAVOR,target,0.0297,0.0193,-1.8289,-0.76,large,large,False,Cliff's delta,large,yes
type_token_ratio,semeval,Feminist Movement,FAVOR,target,0.0517,0.0496,1.0858,0.66,large,large,True,Cohen's d,large,yes
hapax_legomena,semeval,Feminist Movement,FAVOR,target,0.0655,0.0431,0.8355,0.68,large,large,False,Cliff's delta,large,yes
stopword_ratio,semeval,Feminist Movement,FAVOR,target,0.0272,0.012,1.7148,0.84,large,large,False,Cliff's delta,large,yes
punctuation_density,semeval,Feminist Movement,FAVOR,target,0.0722,0.0498,-1.2259,-0.66,large,large,True,Cohen's d,large,yes
function_word_ratio,semeval,Feminist Movement,FAVOR,target,0.0467,0.0168,1.7021,0.8,large,large,True,Cohen's d,large,yes
punctuation_density,semeval,Feminist Movement,NONE,target,0.0477,0.0712,1.0295,0.5556,large,large,True,Cohen's d,large,yes
disgust,semeval,Feminist Movement,NONE,target,0.4368,0.0418,0.3613,-0.619,medium,large,False,Cliff's delta,large,yes
sentence_count,semeval,Legalization of Abortion,AGAINST,target,0.0056,0.0161,0.5471,0.2824,medium,small,False,Cliff's delta,small,yes
punctuation_usage,semeval,Legalization of Abortion,AGAINST,target,0.0253,0.0318,0.4655,0.266,medium,small,False,Cliff's delta,small,yes
doubt_verbs_count,semeval,Legalization of Abortion,AGAINST,target,0.0447,0.1895,0.2846,0.0548,small,negligible,False,Cliff's delta,negligible,yes
doubt_adjectives_count,semeval,Legalization of Abortion,AGAINST,target,0.0243,0.1398,0.3205,0.0685,medium,negligible,False,Cliff's delta,negligible,yes
hedge_E_count,semeval,Legalization of Abortion,AGAINST,target,0.0447,0.1895,0.2846,0.0548,small,negligible,False,Cliff's delta,negligible,yes
E_ratio,semeval,Legalization of Abortion,AGAINST,target,0.0453,0.1896,0.2838,0.0548,small,negligible,False,Cliff's delta,negligible,yes
std_word_length,semeval,Legalization of Abortion,FAVOR,target,0.0481,0.0756,-0.9155,-0.4808,large,large,True,Cohen's d,large,yes
disgust,semeval,Legalization of Abortion,FAVOR,target,0.0096,0.0077,1.0742,0.6923,large,large,False,Cliff's delta,large,yes
sentence_count,semeval,Legalization of Abortion,NONE,target,0.0418,0.0834,0.979,0.5231,large,large,False,Cliff's delta,large,yes
stopword_ratio,semeval,Legalization of Abortion,NONE,target,0.0494,0.2359,-0.7673,-0.3846,large,medium,True,Cohen's d,large,yes
punctuation_usage,semeval,Legalization of Abortion,NONE,target,0.0313,0.114,0.8618,0.5077,large,large,True,Cohen's d,large,yes
word_count,semeval,Donald Trump,AGAINST,target,0.042,0.0939,0.7981,0.3802,large,medium,True,Cohen's d,large,yes
avg_word_length,semeval,Donald Trump,AGAINST,target,0.0279,0.0046,-0.8046,-0.6406,large,large,False,Cliff's delta,large,yes
std_word_length,semeval,Donald Trump,AGAINST,target,0.1084,0.0013,-0.5627,-0.7292,medium,large,False,Cliff's delta,large,yes
hedges_score,semeval,Donald Trump,AGAINST,target,0.0438,0.0279,0.9238,0.3594,large,medium,False,Cliff's delta,medium,yes
hedge_D_count,semeval,Donald Trump,AGAINST,target,0.0819,0.0418,0.8498,0.25,large,small,False,Cliff's delta,small,yes
D_ratio,semeval,Donald Trump,AGAINST,target,0.0858,0.0421,0.8376,0.25,large,small,False,Cliff's delta,small,yes
avg_word_length,semeval,Hillary Clinton,AGAINST,target,0.0042,0.0055,0.8923,0.5221,large,large,False,Cliff's delta,large,yes
sentiment_polarity,semeval,Hillary Clinton,AGAINST,target,0.0079,0.0069,-0.7796,-0.4791,large,large,False,Cliff's delta,large,yes
joy,semeval,Hillary Clinton,AGAINST,target,0.1481,0.0,-0.4059,-0.7936,medium,large,False,Cliff's delta,large,yes
fear,semeval,Hillary Clinton,AGAINST,target,0.0145,0.0011,0.9222,0.6118,large,large,False,Cliff's delta,large,yes
sadness,semeval,Hillary Clinton,AGAINST,target,0.3401,0.0109,-0.5334,-0.4791,medium,large,False,Cliff's delta,large,yes
surprise,semeval,Hillary Clinton,AGAINST,target,0.1395,0.0003,-1.38,-0.683,large,large,False,Cliff's delta,large,yes
certainty_adjectives_count,semeval,Hillary Clinton,AGAINST,target,0.0724,0.0198,-0.746,-0.3649,large,medium,False,Cliff's delta,medium,yes
sentiment_polarity,semeval,Hillary Clinton,FAVOR,target,0.0011,0.0011,1.6125,0.8056,large,large,True,Cohen's d,large,yes
anger,semeval,Hillary Clinton,FAVOR,target,0.1599,0.0085,-0.8731,-0.6528,large,large,False,Cliff's delta,large,yes
joy,semeval,Hillary Clinton,FAVOR,target,0.0022,0.0072,1.1443,0.6667,large,large,False,Cliff's delta,large,yes
noun_ratio,semeval,Hillary Clinton,NONE,target,0.0779,0.0328,-0.6538,-0.5227,medium,large,False,Cliff's delta,large,yes
pronoun_ratio,semeval,Hillary Clinton,NONE,target,0.0249,0.0922,0.723,0.4034,large,medium,False,Cliff's delta,medium,yes
sentence_length_variation,semeval,Hillary Clinton,NONE,target,0.042,0.0682,0.7498,0.4432,large,medium,False,Cliff's delta,medium,yes
sentiment_subjectivity,semeval,Hillary Clinton,NONE,target,0.0077,0.0216,0.9919,0.5568,large,large,False,Cliff's delta,large,yes
anger,semeval,Hillary Clinton,NONE,target,0.0023,0.0308,0.871,0.5227,large,large,False,Cliff's delta,large,yes
joy,semeval,Hillary Clinton,NONE,target,0.0383,0.4751,0.5499,0.1818,medium,small,False,Cliff's delta,small,yes
fear,semeval,Hillary Clinton,NONE,target,0.0,0.0001,-2.1808,-0.8636,large,large,False,Cliff's delta,large,yes
sadness,semeval,Hillary Clinton,NONE,target,0.0481,0.1176,0.5212,0.3864,medium,medium,False,Cliff's delta,medium,yes
certainty_adjectives_count,semeval,Hillary Clinton,NONE,target,0.0425,0.2172,0.5318,0.1818,medium,small,False,Cliff's delta,small,yes
doubt_adverbs_count,semeval,Hillary Clinton,NONE,target,0.0106,0.1119,0.6908,0.2727,medium,small,False,Cliff's delta,small,yes
